Rank,Player,Stat,Line,Pick,Platform,Goblin/Demon,Multiplier,Confidence,Rank Score,Result,Actual Value,Avg Edge Side,Avg Same Line Market Prob Side,Avg All Books Market Prob Side,Same Line Books,All Books,Edge,Model Alpha,Agreement,Signals,Market Consensus Line,Market Consensus Prob,Best Over Odds,Best Over Book,Best Under Odds,Best Under Book,DFS vs Market,FanDuel line,FanDuel line_delta,FanDuel over_no_vig_prob,FanDuel under_no_vig_prob,FanDuel edge,DraftKings line,DraftKings line_delta,DraftKings over_no_vig_prob,DraftKings under_no_vig_prob,DraftKings edge,BetRivers line,BetRivers line_delta,BetRivers over_no_vig_prob,BetRivers under_no_vig_prob,BetRivers edge,BetOnline line,BetOnline line_delta,BetOnline over_no_vig_prob,BetOnline under_no_vig_prob,BetOnline edge,Bovada line,Bovada line_delta,Bovada over_no_vig_prob,Bovada under_no_vig_prob,Bovada edge,BetMGM line,BetMGM line_delta,BetMGM over_no_vig_prob,BetMGM under_no_vig_prob,BetMGM edge,z_line,z_recent,z_matchup,line_diff,momentum,last10,last5,probability_std,Agreement ratio
357,Miles Bridges,PR,20.0,OVER,PrizePicks,,,56.9%,5.18,,,-0.0288,,0.5112,0,4,-0.0288,0.058,1.0,-2.2518,20.5,49.7%,-105,DraftKings,-106,FanDuel,NEUTRAL,19.5,-0.5,49.1%,50.9%,0.0292,20.5,0.5,50.8%,49.2%,0.0292,,,,,,,,,,,20.5,0.5,50.8%,49.2%,0.0292,20.5,0.5,53.8%,46.2%,0.0292,-0.84,0.33,-0.47,1.2,-4.27,1.0,0.8,0.0026,100.0%
358,CJ McCollum,AST,4.0,UNDER,PrizePicks,,,53.6%,5.13,,,0.0,,,0,0,,-0.004,1.0,-1.016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1,0.23,-2.89,0.6,-0.86,1.2,0.8,0.016,100.0%
359,Paul George,3PA,6.5,UNDER,Underdog,,0.84x,52.3%,5.01,,,0.0,,,0,0,,-0.0169,0.75,5.1821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,0.3,2.31,1.5,-1.36,1.2,1.2,0.0227,75.0%
360,LaMelo Ball,FTA,2.5,UNDER,PrizePicks,,,51.9%,4.88,,,0.0,,,0,0,,-0.0208,1.0,2.7126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.03,0.49,0.91,0.9,-0.96,1.0,0.4,0.0068,100.0%
361,Myles Turner,PRA,17.5,UNDER,Underdog and PrizePicks,,,55.0%,4.84,,,-0.0307,0.5093,0.5093,2,2,-0.0307,0.0402,1.0,3.3437,17.5,50.9%,-110,BetOnline.ag,-118,BetOnline.ag,NEUTRAL,,,,,,,,,,,,,,,,17.5,0.0,49.2%,50.8%,0.0096,,,,,,17.5,0.0,48.9%,51.1%,0.0096,0.25,-1.3,-0.53,-5.9,7.02,1.8,2.0,0.007,100.0%
362,Paul George,PTS,15.5,UNDER,Underdog and PrizePicks,,,55.0%,4.73,,,-0.0408,0.506,0.4992,2,6,-0.0341,0.044,1.0,3.9841,15.5,51.7%,175,Bovada,120,BetRivers,NEUTRAL,16.5,1.0,52.2%,47.8%,0.01,15.5,0.0,49.9%,50.1%,0.01,14.5,-1.0,52.5%,47.5%,0.01,15.5,0.0,48.9%,51.1%,0.01,18.5,3.0,49.9%,50.1%,0.01,14.5,-1.0,47.0%,53.0%,0.01,0.09,0.35,0.45,3.3,-2.41,1.0,1.2,0.0062,100.0%
363,CJ McCollum,PTS,19.5,OVER,Underdog and PrizePicks,,,52.2%,4.72,,,0.0,,,0,0,,-0.018,1.0,1.7531,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.17,-0.26,-1.07,-1.1,1.82,1.0,1.2,0.0092,100.0%
364,Myles Turner,PTS,10.5,UNDER,Underdog and PrizePicks,,,54.8%,4.71,,,-0.0479,0.509,0.4921,4,6,-0.031,0.0393,1.0,4.2117,10.5,53.9%,210,Bovada,-115,BetMGM,NEUTRAL,10.5,0.0,48.5%,51.5%,0.0083,10.5,0.0,49.3%,50.7%,0.0083,10.5,0.0,49.3%,50.7%,0.0083,10.5,0.0,49.2%,50.8%,0.0083,13.5,3.0,51.1%,48.9%,0.0083,11.5,1.0,57.2%,42.8%,0.0083,0.44,-0.91,0.09,-2.9,4.29,1.6,1.6,0.02,100.0%
365,Jalen Johnson,RA,18.5,UNDER,Underdog and PrizePicks,,,57.8%,4.64,,,-0.0592,0.492,0.4808,2,4,-0.048,0.0855,1.0,1.0613,19.0,51.4%,110,Bovada,-108,DraftKings,NEUTRAL,18.5,0.0,50.0%,50.0%,0.0375,18.5,0.0,51.6%,48.4%,0.0375,,,,,,,,,,,19.5,1.0,51.3%,48.7%,0.0375,19.5,1.0,54.7%,45.3%,0.0375,-0.02,-0.13,-0.62,-0.9,0.74,1.2,0.8,0.0213,100.0%
366,Stephon Castle,FTM,3.5,UNDER,Underdog,,0.84x,51.7%,4.59,,,0.0,,,0,0,,-0.0226,1.0,2.8305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,0.31,0.33,0.9,-0.17,0.8,0.4,0.0105,100.0%
367,Josh Giddey,AST,10.5,UNDER,PrizePicks,,,55.4%,4.47,,,-0.0223,,0.5177,0,1,-0.0223,0.0364,1.0,-0.6089,11.5,61.6%,145,Bovada,-189,Bovada,UNFAVORABLE,,,,,,,,,,,,,,,,,,,,,11.5,1.0,48.2%,51.8%,0.0141,,,,,,-0.25,0.21,-0.27,1.1,-2.4,0.6,0.4,0.0179,100.0%
368,Devin Booker,PR,29.5,OVER,Underdog,,,56.3%,4.29,,,-0.011,0.5053,0.5291,1,2,-0.0347,0.0575,1.0,-0.2694,30.0,50.4%,-118,FanDuel,-112,FanDuel,NEUTRAL,29.5,0.0,50.5%,49.5%,0.0228,,,,,,,,,,,,,,,,,,,,,30.5,1.0,55.3%,44.7%,0.0228,0.02,0.39,-2.39,2.9,-2.79,1.2,0.4,0.0064,100.0%
369,Brandon Miller,TOV,2.5,UNDER,Underdog and PrizePicks,,,54.9%,4.25,,,0.0,,,0,0,,0.009,0.5,1.2407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.24,-0.4,-1.51,-0.5,0.8,1.0,1.6,0.069,50.0%
370,Brandon Miller,FTM,2.5,OVER,Underdog and PrizePicks,Demon,,53.2%,4.15,,,0.0,,,0,0,,-0.0077,0.75,1.2576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.37,0.55,-0.12,0.9,-1.51,1.0,0.8,0.0301,75.0%
371,VJ Edgecombe,FTA,2.5,OVER,PrizePicks,Demon,,51.4%,4.11,,,0.0,,,0,0,,-0.0255,1.0,2.627,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.01,-0.3,-0.25,-0.5,0.48,1.6,1.6,0.0092,100.0%
372,Jalen Brunson,PA,31.5,OVER,PrizePicks,,,55.4%,3.9,,,-0.0293,0.5107,0.5107,1,1,-0.0293,0.0428,1.0,0.6904,31.5,51.1%,-120,FanDuel,-110,FanDuel,NEUTRAL,31.5,0.0,51.1%,48.9%,0.0135,,,,,,,,,,,,,,,,,,,,,,,,,,-0.22,-0.36,0.27,-2.3,0.9,1.2,1.2,0.0217,100.0%
373,LaMelo Ball,RA,12.0,UNDER,PrizePicks,,,56.2%,3.87,,,-0.0474,,0.4927,0,4,-0.0474,0.0697,1.0,3.2337,12.0,49.3%,105,Bovada,106,FanDuel,NEUTRAL,11.5,-0.5,49.7%,50.3%,0.0224,11.5,-0.5,49.5%,50.5%,0.0224,,,,,,,,,,,12.5,0.5,50.8%,49.2%,0.0224,12.5,0.5,52.9%,47.1%,0.0224,-0.02,0.1,0.63,0.4,-0.48,1.4,1.2,0.0152,100.0%
374,Brandon Miller,AST,3.5,UNDER,Underdog,,0.88x,53.7%,3.86,,,-0.005,0.535,0.535,6,6,-0.005,0.002,0.75,1.3761,3.5,53.5%,105,Bovada,-125,BetMGM,NEUTRAL,3.5,0.0,45.7%,54.3%,-0.003,3.5,0.0,46.4%,53.6%,-0.003,3.5,0.0,46.0%,54.0%,-0.003,3.5,0.0,46.9%,53.0%,-0.003,3.5,0.0,45.9%,54.1%,-0.003,3.5,0.0,48.0%,52.0%,-0.003,-0.0,0.4,-1.22,0.9,-0.9,1.0,1.2,0.0403,75.0%
375,Donte DiVincenzo,REB,3.5,OVER,Underdog,,0.87x,53.7%,3.82,,,-0.0103,0.5229,0.5297,5,6,-0.0171,0.0142,1.0,0.614,3.5,49.5%,165,Bovada,100,FanDuel,NEUTRAL,3.5,0.0,52.9%,47.1%,-0.0028,3.5,0.0,52.0%,48.0%,-0.0028,3.5,0.0,53.0%,47.0%,-0.0028,3.5,0.0,51.6%,48.4%,-0.0028,4.5,1.0,56.3%,43.7%,-0.0028,3.5,0.0,52.0%,48.0%,-0.0028,-0.83,0.88,0.0,0.9,-1.74,1.0,0.4,0.0053,100.0%
376,Jalen Brunson,PRA,34.5,OVER,PrizePicks,,,55.7%,3.75,,,-0.04,0.5,0.5,1,1,-0.04,0.0574,1.0,1.6916,34.5,50.0%,-114,FanDuel,-114,FanDuel,NEUTRAL,34.5,0.0,50.0%,50.0%,0.0174,,,,,,,,,,,,,,,,,,,,,,,,,,-0.3,-0.19,1.33,-1.1,-0.65,1.4,1.2,0.0054,100.0%
377,Ace Bailey,FGA,17.5,UNDER,Underdog and PrizePicks,,,54.8%,3.71,,,0.0,,,0,0,,0.0084,1.0,-7.8865,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.34,0.65,-3.0,2.7,-8.29,1.0,0.4,0.0049,100.0%
378,Brandon Miller,PR,25.5,UNDER,Underdog and PrizePicks,,,55.6%,3.65,,,-0.0415,0.5022,0.4985,3,4,-0.0378,0.054,1.0,1.1875,25.5,51.2%,105,Bovada,-115,DraftKings,NEUTRAL,25.5,0.0,49.5%,50.5%,0.0162,25.5,0.0,49.9%,50.1%,0.0162,,,,,,,,,,,26.5,1.0,51.2%,48.8%,0.0162,25.5,0.0,50.0%,50.0%,0.0162,-0.03,-0.3,-0.12,-1.7,1.54,1.0,0.8,0.0056,100.0%
379,Josh Hart,AST,4.5,UNDER,PrizePicks,,,53.0%,3.6,,,-0.0081,0.5319,0.5319,1,1,-0.0081,-0.0019,1.0,-0.1195,4.5,53.2%,100,FanDuel,-132,FanDuel,NEUTRAL,4.5,0.0,46.8%,53.2%,-0.01,,,,,,,,,,,,,,,,,,,,,,,,,,0.65,-0.4,-3.45,-0.3,0.78,1.4,1.2,0.0129,100.0%
380,Devin Booker,REB,3.5,OVER,Underdog and PrizePicks,Goblin,0.88x,53.3%,3.58,,,0.0018,0.5386,0.5418,5,6,-0.0014,-0.0059,1.0,-2.8702,3.5,51.1%,150,Bovada,120,BetRivers,NEUTRAL,3.5,0.0,53.2%,46.8%,-0.0073,3.5,0.0,53.6%,46.4%,-0.0073,3.5,0.0,57.7%,42.3%,-0.0073,3.5,0.0,52.8%,47.2%,-0.0073,4.5,1.0,55.8%,44.2%,-0.0073,3.5,0.0,52.0%,48.0%,-0.0073,-0.21,0.15,-4.0,0.3,-0.71,0.8,0.8,0.0144,100.0%
381,Ausar Thompson,FGA,8.5,UNDER,PrizePicks,,,51.3%,3.47,,,0.0,,,0,0,,-0.0269,1.0,1.6742,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.14,0.04,0.15,0.1,-0.47,1.2,0.8,0.0082,100.0%
382,Jalen Duren,FTM,4.5,UNDER,Underdog,,1.03x,52.1%,3.45,,,0.0,,,0,0,,-0.0193,1.0,-0.1972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,2.31,-3.0,3.7,-3.64,0.4,0.0,0.0141,100.0%
383,LaMelo Ball,PR,25.0,OVER,PrizePicks,,,54.6%,3.36,,,-0.0344,,0.5056,0,4,-0.0344,0.0404,1.0,2.5984,25.5,49.2%,100,Bovada,-109,DraftKings,NEUTRAL,25.5,0.5,50.3%,49.7%,0.006,24.5,-0.5,48.5%,51.5%,0.006,,,,,,,,,,,25.5,0.5,49.7%,50.3%,0.006,25.5,0.5,53.8%,46.2%,0.006,0.11,-1.11,-0.25,-4.4,4.84,1.4,2.0,0.0087,100.0%
384,Tobias Harris,PA,17.5,UNDER,PrizePicks,,,53.8%,3.36,,,-0.0101,0.5191,0.53,3,4,-0.0209,0.0188,1.0,0.8147,17.5,51.2%,-104,DraftKings,-110,BetMGM,NEUTRAL,17.5,0.0,48.5%,51.5%,-0.0021,17.5,0.0,47.7%,52.3%,-0.0021,,,,,,,,,,,17.5,0.0,48.0%,52.0%,-0.0021,16.5,-1.0,43.8%,56.2%,-0.0021,-0.42,0.27,1.5,1.1,-2.83,0.8,0.4,0.0089,100.0%
385,Shai Gilgeous-Alexander,PR,34.5,UNDER,PrizePicks,,,55.2%,3.3,,,-0.04,0.5,0.5,1,1,-0.04,0.0518,1.0,3.3732,34.5,50.0%,-114,FanDuel,-114,FanDuel,NEUTRAL,34.5,0.0,50.0%,50.0%,0.0118,,,,,,,,,,,,,,,,,,,,,,,,,,0.18,-0.49,0.21,-3.5,4.77,1.0,1.2,0.0254,100.0%
386,Ace Bailey,TOV,2.5,UNDER,Underdog,,0.80x,51.9%,3.3,,,0.0,,,0,0,,-0.0205,1.0,-0.4554,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.11,-0.88,-0.33,-0.9,-0.23,1.4,1.6,0.0083,100.0%
387,Miles Bridges,STL,0.5,UNDER,PrizePicks,,,52.1%,3.21,,,0.0,,,0,0,,-0.0188,0.75,1.9793,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.13,0.12,-0.58,0.1,0.0,1.0,1.2,0.0198,75.0%
388,Victor Wembanyama,SB,4.5,UNDER,Underdog,,1.06x,62.0%,3.07,,,-0.1005,0.4395,0.4395,1,1,-0.1005,0.1806,1.0,1.103,4.5,44.0%,-149,DraftKings,113,DraftKings,NEUTRAL,,,,,,4.5,0.0,56.0%,44.0%,0.0801,,,,,,,,,,,,,,,,,,,,,-0.12,0.24,-0.07,0.7,-1.04,0.6,0.8,0.0089,100.0%
389,Kon Knueppel,PA,22.0,UNDER,PrizePicks,,,54.2%,3.07,,,-0.0271,,0.5129,0,4,-0.0271,0.0291,1.0,1.0664,21.5,49.9%,105,Bovada,-105,BetMGM,NEUTRAL,21.5,-0.5,49.1%,50.9%,0.002,21.5,-0.5,47.8%,52.2%,0.002,,,,,,,,,,,22.5,0.5,48.6%,51.4%,0.002,21.5,-0.5,49.3%,50.7%,0.002,0.09,-0.0,-1.83,-0.0,0.61,1.0,1.2,0.0113,100.0%
390,Kon Knueppel,PRA,27.0,UNDER,PrizePicks,,,54.1%,2.92,,,-0.0347,,0.5053,0,6,-0.0347,0.0358,1.0,3.2387,26.5,48.9%,120,Bovada,120,BetRivers,NEUTRAL,26.5,-0.5,50.0%,50.0%,0.0011,26.5,-0.5,48.8%,51.2%,0.0011,25.5,-1.5,50.8%,49.2%,0.0011,26.5,-0.5,48.9%,51.0%,0.0011,28.5,1.5,49.5%,50.5%,0.0011,26.5,-0.5,48.7%,51.3%,0.0011,0.1,0.02,-0.62,0.2,0.74,1.2,1.6,0.0101,100.0%
391,Dyson Daniels,PR,19.5,OVER,PrizePicks,,,55.9%,2.9,,,-0.0411,0.4875,0.4989,3,4,-0.0525,0.0715,1.0,3.4161,19.5,48.6%,-104,DraftKings,-112,FanDuel,NEUTRAL,19.5,0.0,50.5%,49.5%,0.0191,19.5,0.0,47.7%,52.3%,0.0191,,,,,,,,,,,19.5,0.0,48.0%,52.0%,0.0191,20.5,1.0,53.3%,46.7%,0.0191,0.1,-0.03,0.27,-0.3,1.37,1.2,0.8,0.0082,100.0%
392,Mikal Bridges,PA,15.5,OVER,PrizePicks,,,55.1%,2.9,,,-0.0253,0.5147,0.5147,1,1,-0.0253,0.0364,1.0,-2.298,15.5,51.5%,-122,FanDuel,-108,FanDuel,NEUTRAL,15.5,0.0,51.5%,48.5%,0.0111,,,,,,,,,,,,,,,,,,,,,,,,,,-0.84,-0.3,0.09,-1.1,-1.94,0.6,1.2,0.0124,100.0%
393,Jalen Johnson,AST,8.5,UNDER,Underdog and PrizePicks,,,51.9%,2.87,,,-0.0127,0.5319,0.5273,5,6,-0.0081,-0.0125,1.0,1.0901,8.5,54.7%,150,Bovada,-120,DraftKings,NEUTRAL,8.5,0.0,45.4%,54.6%,-0.0205,8.5,0.0,48.8%,51.2%,-0.0205,8.5,0.0,45.6%,54.4%,-0.0205,8.5,0.0,47.8%,52.2%,-0.0205,9.5,1.0,49.6%,50.4%,-0.0205,8.5,0.0,46.5%,53.5%,-0.0205,-0.11,0.03,-0.0,0.1,-0.52,0.8,0.8,0.0077,100.0%
394,Paul George,RA,8.5,OVER,Underdog and PrizePicks,,0.87x,53.1%,2.85,,,0.002,0.5239,0.5421,3,4,-0.0161,0.0076,1.0,-0.1103,8.5,49.9%,120,Bovada,105,BetMGM,NEUTRAL,8.5,0.0,50.0%,50.0%,-0.0085,8.5,0.0,52.7%,47.3%,-0.0085,,,,,,,,,,,9.5,1.0,59.6%,40.4%,-0.0085,8.5,0.0,54.5%,45.5%,-0.0085,-0.31,-0.4,-1.61,-0.5,0.11,1.4,1.2,0.0037,100.0%
395,Miles Bridges,PRA,22.5,OVER,Underdog,,0.86x,55.2%,2.83,,,-0.0091,0.5167,0.5309,2,6,-0.0233,0.0353,1.0,-3.074,23.0,50.7%,120,Bovada,117,BetRivers,NEUTRAL,22.5,0.0,51.1%,48.9%,0.012,22.5,0.0,52.3%,47.7%,0.012,21.5,-1.0,52.5%,47.5%,0.012,23.5,1.0,54.8%,45.2%,0.012,24.5,2.0,52.0%,48.0%,0.012,23.5,1.0,55.9%,44.1%,0.012,-0.86,0.38,-0.55,1.7,-5.54,1.0,0.8,0.0166,100.0%
396,Jalen Duren,RA,12.5,UNDER,Underdog and PrizePicks,,,54.0%,2.83,,,-0.0293,0.5107,0.5107,1,1,-0.0293,0.029,1.0,1.6882,12.5,51.1%,-110,BetMGM,-120,BetMGM,NEUTRAL,,,,,,,,,,,,,,,,,,,,,,,,,,12.5,0.0,48.9%,51.1%,-0.0003,-0.04,0.18,-0.12,0.7,-0.83,1.0,0.8,0.0072,100.0%
397,Miles Bridges,AST,2.5,OVER,Underdog and PrizePicks,Goblin,0.83x,51.2%,2.82,,,0.0181,0.5606,0.5581,5,6,0.0206,-0.0484,0.5,0.0708,2.5,52.6%,165,Bovada,125,BetMGM,NEUTRAL,2.5,0.0,55.8%,44.2%,-0.0278,2.5,0.0,55.4%,44.6%,-0.0278,2.5,0.0,54.8%,45.2%,-0.0278,2.5,0.0,56.0%,44.0%,-0.0278,3.5,1.0,54.5%,45.5%,-0.0278,2.5,0.0,58.3%,41.7%,-0.0278,-0.54,0.35,-0.58,0.5,-1.26,0.8,0.8,0.0205,50.0%
398,Myles Turner,SB,1.5,OVER,PrizePicks,,,53.5%,2.67,,,0.0,,,0,0,,-0.0052,0.5,0.618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.7,-0.1,-0.07,-0.1,-0.61,1.0,1.2,0.0408,50.0%
399,Coby White,AST,3.5,OVER,Underdog and PrizePicks,,1.04x,60.1%,2.67,,,-0.075,0.465,0.465,6,6,-0.075,0.1355,1.0,-1.7423,3.5,46.5%,105,DraftKings,-130,BetMGM,NEUTRAL,3.5,0.0,46.3%,53.7%,0.0605,3.5,0.0,45.6%,54.4%,0.0605,3.5,0.0,47.3%,52.7%,0.0605,3.5,0.0,46.3%,53.7%,0.0605,3.5,0.0,45.9%,54.1%,0.0605,3.5,0.0,47.6%,52.4%,0.0605,-0.38,-0.05,-2.11,-0.1,-0.71,0.8,0.8,0.0108,100.0%
400,Victor Wembanyama,FTA,5.5,UNDER,PrizePicks,,,52.3%,2.37,,,0.0,,,0,0,,-0.0165,0.5,3.8758,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.36,-0.24,-0.57,-0.9,2.23,1.4,1.6,0.0543,50.0%
401,Shai Gilgeous-Alexander,3PM,1.5,UNDER,PrizePicks,,,56.6%,2.25,,,-0.0547,0.4853,0.4853,1,1,-0.0547,0.0803,1.0,2.2486,1.5,48.5%,-122,FanDuel,-108,FanDuel,NEUTRAL,1.5,0.0,51.5%,48.5%,0.0256,,,,,,,,,,,,,,,,,,,,,,,,,,0.18,-0.46,-0.27,-0.5,0.69,1.0,1.6,0.0341,100.0%
402,Josh Giddey,FTA,3.5,OVER,PrizePicks,,,51.2%,2.09,,,0.0,,,0,0,,-0.0279,0.75,1.9555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.46,0.52,0.69,0.9,-1.69,0.8,1.2,0.0132,75.0%
403,LaMelo Ball,PA,27.5,OVER,Underdog and PrizePicks,,,55.3%,2.09,,,-0.0378,0.4907,0.5022,3,4,-0.0493,0.0627,1.0,2.6073,27.5,48.9%,-109,DraftKings,-118,FanDuel,NEUTRAL,27.5,0.0,49.5%,50.5%,0.0133,27.5,0.0,48.8%,51.2%,0.0133,,,,,,,,,,,27.5,0.0,48.9%,51.1%,0.0133,28.5,1.0,53.7%,46.3%,0.0133,0.11,-0.61,-0.4,-3.9,4.61,1.2,1.6,0.0115,100.0%
404,Josh Hart,RA,11.5,OVER,PrizePicks,,,55.9%,2.08,,,-0.0453,0.4947,0.4947,1,1,-0.0453,0.0638,1.0,-0.3897,11.5,49.5%,-112,FanDuel,-118,FanDuel,NEUTRAL,11.5,0.0,49.5%,50.5%,0.0185,,,,,,,,,,,,,,,,,,,,,,,,,,-0.43,-0.28,-0.4,-0.7,-0.38,1.0,0.8,0.0048,100.0%
405,Josh Giddey,PR,28.5,UNDER,PrizePicks,,,60.1%,2.04,,,-0.0749,,0.4652,0,2,-0.0749,0.1363,1.0,-2.3908,29.5,51.0%,100,Bovada,-110,BetMGM,UNFAVORABLE,,,,,,,,,,,,,,,,,,,,,29.5,1.0,51.4%,48.6%,0.0614,29.5,1.0,55.5%,44.5%,0.0614,-0.34,-1.28,-0.54,-10.5,7.67,1.0,1.6,0.0295,100.0%
406,Kon Knueppel,REB,5.0,UNDER,PrizePicks,,,53.9%,2.01,,,-0.0376,,0.5024,0,6,-0.0376,0.0371,1.0,3.0007,4.5,45.4%,120,Bovada,122,DraftKings,NEUTRAL,4.5,-0.5,49.9%,50.1%,-0.0006,4.5,-0.5,50.5%,49.5%,-0.0006,4.5,-0.5,49.2%,50.8%,-0.0006,4.5,-0.5,50.0%,50.0%,-0.0006,5.5,0.5,49.7%,50.3%,-0.0006,4.5,-0.5,49.3%,50.7%,-0.0006,0.1,0.06,0.1,0.2,0.13,1.2,1.2,0.0145,100.0%
407,Myles Turner,PR,15.5,UNDER,PrizePicks,,,52.6%,1.93,,,-0.0284,0.5116,0.5116,4,4,-0.0284,0.0146,1.0,3.7785,15.5,51.2%,100,FanDuel,-105,BetMGM,NEUTRAL,15.5,0.0,47.1%,52.9%,-0.0139,15.5,0.0,47.9%,52.1%,-0.0139,,,,,,,,,,,15.5,0.0,48.0%,52.0%,-0.0139,15.5,0.0,52.4%,47.6%,-0.0139,0.4,-1.13,-0.34,-4.7,6.35,1.6,1.6,0.0141,100.0%
408,Miles Bridges,3PA,4.5,OVER,Underdog,,0.83x,52.6%,1.88,,,0.0,,,0,0,,-0.0137,0.75,-1.6356,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.79,0.67,-0.99,1.3,-2.83,0.6,0.4,0.0292,75.0%
409,Josh Giddey,REB,9.0,UNDER,PrizePicks,,,58.8%,1.87,,,-0.081,,0.459,0,1,-0.081,0.1286,1.0,1.8058,10.5,63.3%,155,Bovada,-208,Bovada,UNFAVORABLE,,,,,,,,,,,,,,,,,,,,,10.5,1.5,54.1%,45.9%,0.0476,,,,,,-0.23,-1.05,0.59,-3.2,2.49,1.2,2.0,0.0061,100.0%
410,Josh Giddey,FTM,2.5,OVER,PrizePicks,,,51.0%,1.86,,,0.0,,,0,0,,-0.03,0.75,1.8644,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.43,0.16,0.93,0.3,-1.09,0.8,1.2,0.0087,75.0%
411,Jalen Williams,PA,22.5,UNDER,PrizePicks,,,52.6%,1.77,,,-0.0293,0.5107,0.5107,1,1,-0.0293,0.0149,1.0,3.4573,22.5,51.1%,-110,FanDuel,-120,FanDuel,NEUTRAL,22.5,0.0,48.9%,51.1%,-0.0144,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,0.12,2.0,0.9,-0.78,0.8,0.4,0.006,100.0%
412,Chet Holmgren,PR,23.5,OVER,PrizePicks,,,55.1%,1.72,,,-0.0347,0.5053,0.5053,1,1,-0.0347,0.0461,1.0,-1.895,23.5,50.5%,-118,FanDuel,-112,FanDuel,NEUTRAL,23.5,0.0,50.5%,49.5%,0.0114,,,,,,,,,,,,,,,,,,,,,,,,,,-0.34,0.09,-1.5,0.7,-3.25,1.2,1.2,0.0129,100.0%
413,Myles Turner,3PM,1.5,OVER,Underdog and PrizePicks,Goblin,0.83x,50.6%,1.7,,,0.0338,0.5597,0.5738,5,6,0.0197,-0.0538,0.5,-0.4356,1.5,52.0%,190,Bovada,120,FanDuel,NEUTRAL,1.5,0.0,57.1%,42.9%,-0.0341,1.5,0.0,56.9%,43.1%,-0.0341,1.5,0.0,56.7%,43.3%,-0.0341,1.5,0.0,56.7%,43.3%,-0.0341,2.5,1.0,64.4%,35.6%,-0.0341,1.5,0.0,52.4%,47.6%,-0.0341,-0.72,0.12,-0.27,0.1,-0.68,0.6,0.4,0.0146,50.0%
414,Tyrese Maxey,STL,1.5,UNDER,Underdog,,1.02x,56.3%,1.7,,,-0.0647,0.4753,0.4753,2,2,-0.0647,0.0875,1.0,3.402,1.5,47.5%,-122,FanDuel,101,DraftKings,NEUTRAL,1.5,0.0,51.5%,48.5%,0.0229,1.5,0.0,53.5%,46.5%,0.0229,,,,,,,,,,,,,,,,,,,,,0.31,0.52,-0.15,0.9,-0.37,1.0,1.2,0.0043,100.0%
415,OG Anunoby,PRA,22.5,UNDER,PrizePicks,,,53.4%,1.51,,,-0.04,0.5,0.5,1,1,-0.04,0.0344,1.0,3.6486,22.5,50.0%,-114,FanDuel,-114,FanDuel,NEUTRAL,22.5,0.0,50.0%,50.0%,-0.0056,,,,,,,,,,,,,,,,,,,,,,,,,,0.18,0.17,-0.55,1.5,0.15,1.0,1.2,0.005,100.0%
416,Kon Knueppel,PTS,18.5,UNDER,Underdog and PrizePicks,,,53.9%,1.5,,,-0.0376,0.508,0.5024,3,6,-0.032,0.031,1.0,0.045,18.5,52.1%,200,Bovada,112,BetRivers,NEUTRAL,18.5,0.0,50.0%,50.0%,-0.001,18.5,0.0,48.4%,51.6%,-0.001,17.5,-1.0,50.1%,49.9%,-0.001,18.5,0.0,49.2%,50.8%,-0.001,22.5,4.0,54.4%,45.6%,-0.001,17.5,-1.0,46.4%,53.6%,-0.001,0.11,-0.15,-2.75,-0.9,1.54,1.0,1.2,0.007,100.0%
417,Devin Booker,PR,30.0,OVER,PrizePicks,,,54.2%,1.47,,,-0.036,,0.504,0,2,-0.036,0.0376,1.0,0.4512,30.0,50.4%,-118,FanDuel,-112,FanDuel,NEUTRAL,29.5,-0.5,48.0%,52.0%,0.0016,,,,,,,,,,,,,,,,,,,,,30.5,0.5,52.8%,47.2%,0.0016,0.08,0.45,-2.3,3.4,-2.79,1.2,0.4,0.0071,100.0%
