Rank,Player,Stat,Line,Pick,Platform,Goblin/Demon,Multiplier,Confidence,Tier,Recommendation,Rank Score,Result,Actual value,FULL_ALL Pick,FULL_ALL Confidence,FULL_ALL Rank score,FULL_ALL Result,FULL_TIGHT Pick,FULL_TIGHT Confidence,FULL_TIGHT Rank score,FULL_TIGHT Result,REDUCED_ALL Pick,REDUCED_ALL Confidence,REDUCED_ALL Rank score,REDUCED_ALL Result,REDUCED_TIGHT Pick,REDUCED_TIGHT Confidence,REDUCED_TIGHT Rank score,REDUCED_TIGHT Result,z_line,z_recent,z_matchup,line_diff,momentum,last10,last5,probability_std,Agreement ratio,FanDuel line,FanDuel line_delta,FanDuel over_hit_prob,FanDuel under_hit_prob,FanDuel edge,DraftKings line,DraftKings line_delta,DraftKings over_hit_prob,DraftKings under_hit_prob,DraftKings edge,BetRivers line,BetRivers line_delta,BetRivers over_hit_prob,BetRivers under_hit_prob,BetRivers edge,BetOnline line,BetOnline line_delta,BetOnline over_hit_prob,BetOnline under_hit_prob,BetOnline edge,Bovada line,Bovada line_delta,Bovada over_hit_prob,Bovada under_hit_prob,Bovada edge,BetMGM line,BetMGM line_delta,BetMGM over_hit_prob,BetMGM under_hit_prob,BetMGM edge
32,Stephon Castle,STL,1.5,UNDER,Underdog,,0.76x,69.2%,A,BET,57.88,✅ HIT,0.0,UNDER,65.1%,52.89,✅ HIT,UNDER,65.1%,52.97,✅ HIT,UNDER,73.4%,62.9,✅ HIT,UNDER,73.3%,62.75,✅ HIT,-0.38,-0.94,-0.58,-0.7,0.42,1.6,1.6,0.0412,100.0%,1.5,0.0,31.8%,68.2%,0.0066,1.5,0.0,34.4%,65.6%,0.0234,,,,,,,,,,,,,,,,,,,,
33,Joel Embiid,3PM,0.5,OVER,PrizePicks,Goblin,,70.8%,S,STRONG BET,57.69,✅ HIT,3.0,OVER,71.5%,57.98,✅ HIT,OVER,71.1%,57.51,✅ HIT,OVER,70.7%,57.99,✅ HIT,OVER,70.0%,57.27,✅ HIT,-0.66,-1.11,-0.46,-1.3,0.53,2.0,2.0,0.0057,100.0%,1.5,1.0,51.6%,48.4%,0.1249,1.5,1.0,52.9%,47.1%,0.1169,1.5,1.0,52.6%,47.4%,0.1183,1.5,1.0,50.9%,49.1%,0.1294,1.5,1.0,52.9%,47.1%,0.1165,1.5,1.0,50.3%,49.7%,0.1337
34,Brandin Podziemski,PA,20.5,UNDER,Underdog and PrizePicks,,0.89x,73.4%,D,STRONG BET,57.58,❌ MISS,27.0,UNDER,73.3%,57.42,❌ MISS,UNDER,73.2%,57.19,❌ MISS,UNDER,73.8%,58.04,❌ MISS,UNDER,73.5%,57.67,❌ MISS,-0.58,-0.75,-1.82,-4.9,1.11,1.2,1.6,0.0022,100.0%,20.5,0.0,48.9%,51.1%,0.1453,19.5,-1.0,51.9%,48.1%,0.1646,,,,,,,,,,,20.5,0.0,46.9%,53.0%,0.1324,19.5,-1.0,53.2%,46.8%,0.1731
35,Scottie Barnes,BLK,1.5,UNDER,Underdog,,0.79x,70.3%,S,STRONG BET,57.35,✅ HIT,1.0,UNDER,69.7%,56.56,✅ HIT,UNDER,69.9%,56.81,✅ HIT,UNDER,70.8%,57.89,✅ HIT,UNDER,71.0%,58.14,✅ HIT,0.02,-0.26,-3.0,-0.3,0.32,1.4,1.2,0.0056,100.0%,1.5,0.0,37.7%,62.3%,0.0521,1.5,0.0,37.1%,62.9%,0.048,,,,,,,,,,,,,,,,1.5,0.0,41.1%,58.9%,0.0742
36,Victor Wembanyama,3PM,2.5,UNDER,Underdog,,0.84x,69.7%,S,BET,56.71,✅ HIT,1.0,UNDER,72.0%,59.57,✅ HIT,UNDER,72.0%,59.58,✅ HIT,UNDER,67.3%,53.86,✅ HIT,UNDER,67.2%,53.84,✅ HIT,-1.13,-1.84,0.58,-0.9,0.35,1.2,2.0,0.0238,100.0%,2.5,0.0,44.8%,55.2%,0.0941,2.5,0.0,43.8%,56.2%,0.0876,2.5,0.0,46.0%,54.0%,0.1016,2.5,0.0,41.2%,58.8%,0.0707,2.5,0.0,43.7%,56.3%,0.0869,2.5,0.0,43.4%,56.6%,0.0849
37,Josh Giddey,STL,1.5,UNDER,Underdog,,0.73x,69.3%,A,BET,56.7,✅ HIT,0.0,UNDER,67.6%,54.67,✅ HIT,UNDER,67.6%,54.69,✅ HIT,UNDER,71.0%,58.77,✅ HIT,UNDER,70.9%,58.67,✅ HIT,-0.56,0.4,-1.73,0.3,-0.72,1.0,0.8,0.0168,100.0%,1.5,0.0,31.8%,68.2%,0.0071,1.5,0.0,33.8%,66.2%,0.0202,,,,,,,,,,,,,,,,,,,,
38,Andrew Nembhard,REB,1.5,OVER,PrizePicks,Goblin,,72.0%,B,STRONG BET,56.6,✅ HIT,2.0,OVER,72.6%,56.78,✅ HIT,OVER,72.5%,56.79,✅ HIT,OVER,71.6%,56.49,✅ HIT,OVER,71.4%,56.31,✅ HIT,-0.52,-0.58,-0.38,-1.5,0.15,1.2,1.2,0.0054,100.0%,,,,,,2.5,1.0,54.3%,45.7%,0.1153,2.5,1.0,53.0%,47.0%,0.1239,2.5,1.0,54.7%,45.3%,0.1127,2.5,1.0,54.6%,45.4%,0.1135,2.5,1.0,56.7%,43.3%,0.0999
39,Joel Embiid,PA,26.0,OVER,PrizePicks,,,73.0%,D,STRONG BET,56.42,✅ HIT,42.0,OVER,72.7%,56.16,✅ HIT,OVER,73.0%,56.63,✅ HIT,OVER,72.9%,56.18,✅ HIT,OVER,73.4%,56.74,✅ HIT,-0.87,-1.42,-0.49,-7.4,2.85,2.0,2.0,0.0026,100.0%,26.5,0.5,51.7%,48.3%,0.1384,26.5,0.5,50.6%,49.4%,0.1453,,,,,,,,,,,27.5,1.5,49.1%,50.9%,0.1555,26.5,0.5,51.7%,48.3%,0.1384
40,Andrew Nembhard,3PM,0.5,OVER,PrizePicks,Goblin,,73.8%,S,STRONG BET,56.34,✅ HIT,2.0,OVER,74.2%,56.51,✅ HIT,OVER,73.7%,56.02,✅ HIT,OVER,73.9%,56.8,✅ HIT,OVER,73.2%,56.04,✅ HIT,-1.71,-1.12,-0.27,-0.9,-0.47,1.6,1.6,0.0034,100.0%,1.5,1.0,56.1%,43.9%,0.1146,1.5,1.0,57.9%,42.1%,0.1028,1.5,1.0,56.9%,43.1%,0.1097,1.5,1.0,58.1%,41.9%,0.1019,1.5,1.0,57.9%,42.1%,0.1028,1.5,1.0,63.3%,36.6%,0.0676
41,Kristaps Porziņģis,AST,1.5,OVER,PrizePicks,Goblin,,70.3%,C,STRONG BET,56.31,✅ HIT,2.0,OVER,71.8%,57.57,✅ HIT,OVER,69.6%,55.11,✅ HIT,OVER,71.1%,57.57,✅ HIT,OVER,68.8%,46.99,✅ HIT,-0.68,-0.63,-0.48,-1.1,-0.08,1.4,1.6,0.0119,100.0%,,,,,,2.5,1.0,50.3%,49.7%,0.1299,,,,,,2.5,1.0,51.2%,48.8%,0.1241,2.5,1.0,49.5%,50.5%,0.135,2.5,1.0,53.6%,46.4%,0.1083
42,Joel Embiid,PA,26.5,OVER,Underdog,,,71.5%,D,STRONG BET,56.06,✅ HIT,42.0,OVER,71.2%,55.75,✅ HIT,OVER,71.6%,56.22,✅ HIT,OVER,71.4%,55.85,✅ HIT,OVER,71.9%,56.41,✅ HIT,-0.78,-1.33,-0.43,-6.9,2.85,2.0,2.0,0.0024,100.0%,26.5,0.0,51.1%,48.9%,0.1328,26.5,0.0,50.0%,50.0%,0.1398,,,,,,,,,,,27.5,1.0,47.9%,52.1%,0.1537,26.5,0.0,51.1%,48.9%,0.1328
43,Brandon Ingram,3PM,0.5,OVER,PrizePicks,Goblin,,74.7%,S,STRONG BET,55.43,✅ HIT,2.0,OVER,75.0%,55.65,✅ HIT,OVER,74.6%,55.17,✅ HIT,OVER,74.9%,55.81,✅ HIT,OVER,74.3%,55.07,✅ HIT,-0.66,-0.88,-1.5,-1.7,0.42,1.4,1.6,0.003,100.0%,1.5,1.0,62.1%,37.9%,0.0817,1.5,1.0,62.9%,37.1%,0.0766,1.5,1.0,62.9%,37.1%,0.0767,1.5,1.0,63.3%,36.7%,0.0739,1.5,1.0,63.2%,36.8%,0.0747,1.5,1.0,66.2%,33.8%,0.0551
44,Victor Wembanyama,AST,3.5,UNDER,Underdog,,0.85x,67.3%,C,STRONG BET,55.11,✅ HIT,3.0,UNDER,68.9%,57.02,✅ HIT,UNDER,67.7%,55.64,✅ HIT,UNDER,66.7%,54.41,✅ HIT,UNDER,65.8%,53.37,✅ HIT,-0.3,-0.17,-0.23,-0.3,-0.22,1.4,1.2,0.0114,100.0%,3.5,0.0,43.3%,56.7%,0.0688,3.5,0.0,43.6%,56.4%,0.0705,3.5,0.0,44.8%,55.2%,0.0785,3.5,0.0,43.1%,56.9%,0.0674,3.5,0.0,43.7%,56.3%,0.0715,3.5,0.0,45.2%,54.8%,0.0811
45,Draymond Green,PA,14.5,OVER,PrizePicks,,,64.5%,D,DO NOT BET,54.94,❌ MISS,10.0,OVER,64.4%,54.77,❌ MISS,OVER,64.8%,55.26,❌ MISS,OVER,64.2%,54.57,❌ MISS,OVER,64.7%,55.16,❌ MISS,0.14,0.11,0.31,0.5,0.12,1.4,1.2,0.0024,100.0%,14.5,0.0,51.9%,48.1%,0.0824,14.5,0.0,50.1%,49.9%,0.0937,,,,,,,,,,,15.5,1.0,38.5%,61.5%,0.1692,14.5,0.0,49.2%,50.8%,0.0998
46,LeBron James,STL,1.5,UNDER,Underdog,,0.70x,68.0%,A,BET,54.79,✅ HIT,1.0,UNDER,66.2%,52.71,✅ HIT,UNDER,66.3%,52.77,✅ HIT,UNDER,69.7%,56.88,✅ HIT,UNDER,69.7%,56.8,✅ HIT,-0.31,-0.26,-1.5,-0.3,-0.06,0.8,1.2,0.0171,100.0%,1.5,0.0,37.7%,62.3%,0.0368,1.5,0.0,35.7%,64.3%,0.0238,,,,,,,,,,,,,,,,,,,,
47,Kristaps Porziņģis,BLK,0.5,OVER,PrizePicks,Goblin,,69.7%,S,BET,54.73,❌ MISS,0.0,OVER,70.5%,55.93,❌ MISS,OVER,69.4%,54.62,❌ MISS,OVER,69.9%,54.83,❌ MISS,OVER,68.8%,53.55,❌ MISS,-0.92,-1.08,-0.93,-1.1,0.16,1.6,1.6,0.0064,100.0%,1.5,1.0,49.9%,50.1%,0.1287,1.5,1.0,51.4%,48.6%,0.1187,,,,,,,,,,,,,,,,1.5,1.0,53.6%,46.4%,0.1047
48,Deni Avdija,REB,7.5,UNDER,Underdog,,0.84x,64.2%,B,DO NOT BET,54.38,✅ HIT,4.0,UNDER,64.8%,55.06,✅ HIT,UNDER,63.4%,53.41,✅ HIT,UNDER,65.0%,55.33,✅ HIT,UNDER,63.6%,53.75,✅ HIT,-0.27,-0.14,0.28,-0.3,-0.27,1.6,1.2,0.0068,100.0%,6.5,-1.0,66.0%,34.0%,0.1961,6.5,-1.0,65.6%,34.4%,0.1937,7.5,0.0,43.3%,56.7%,0.0486,6.5,-1.0,64.3%,35.7%,0.1851,8.5,1.0,18.2%,81.8%,-0.1143,7.5,0.0,46.5%,53.5%,0.0697
49,VJ Edgecombe,STL,0.5,OVER,PrizePicks,Goblin,,70.3%,A,STRONG BET,54.3,✅ HIT,1.0,OVER,70.9%,55.56,✅ HIT,OVER,70.2%,54.85,✅ HIT,OVER,70.4%,53.73,✅ HIT,OVER,69.8%,53.06,✅ HIT,-1.24,-0.4,-1.0,-0.3,-0.63,1.4,1.2,0.004,100.0%,1.5,1.0,54.6%,45.4%,0.1021,1.5,1.0,53.1%,46.9%,0.1116,,,,,,,,,,,,,,,,,,,,
50,Kevin Durant,PA,31.5,UNDER,Underdog,,,65.1%,D,STRONG BET,54.25,❌ MISS,38.0,UNDER,65.8%,55.15,❌ MISS,UNDER,65.6%,54.85,❌ MISS,UNDER,64.8%,53.72,❌ MISS,UNDER,64.4%,53.26,❌ MISS,-0.13,-0.22,0.46,-1.9,0.77,1.6,1.6,0.006,100.0%,31.5,0.0,48.5%,51.5%,0.0889,30.5,-1.0,54.0%,46.0%,0.1247,,,,,,,,,,,31.5,0.0,46.9%,53.0%,0.0787,30.5,-1.0,53.6%,46.4%,0.1221
51,Brandin Podziemski,PRA,26.5,UNDER,Underdog and PrizePicks,,0.89x,72.3%,D,STRONG BET,54.23,❌ MISS,33.0,UNDER,71.9%,53.81,❌ MISS,UNDER,71.3%,53.11,❌ MISS,UNDER,73.0%,55.18,❌ MISS,UNDER,72.7%,54.82,❌ MISS,-0.47,-0.58,-2.26,-5.7,1.14,1.2,1.6,0.0068,100.0%,26.5,0.0,48.9%,51.1%,0.1377,25.5,-1.0,53.3%,46.7%,0.1662,26.5,0.0,47.0%,53.0%,0.1254,26.5,0.0,48.1%,51.9%,0.1326,27.5,1.0,42.2%,57.8%,0.094,26.5,0.0,48.0%,52.0%,0.1317
52,Paul George,3PM,1.5,OVER,PrizePicks,Goblin,,67.7%,S,BET,54.16,✅ HIT,6.0,OVER,68.9%,55.29,✅ HIT,OVER,68.5%,54.81,✅ HIT,OVER,67.0%,45.53,✅ HIT,OVER,66.4%,44.81,✅ HIT,-0.3,-0.41,-0.17,-1.3,0.36,1.2,1.2,0.0102,100.0%,2.5,1.0,47.2%,52.8%,0.133,2.5,1.0,50.7%,49.2%,0.1101,2.5,1.0,48.4%,51.6%,0.1257,2.5,1.0,49.9%,50.1%,0.1156,2.5,1.0,50.7%,49.3%,0.1104,2.5,1.0,53.8%,46.2%,0.0904
53,Scoot Henderson,RA,7.5,UNDER,Underdog,,0.85x,63.2%,C,DO NOT BET,53.92,✅ HIT,7.0,UNDER,63.6%,54.41,✅ HIT,UNDER,62.0%,52.43,✅ HIT,UNDER,64.5%,55.47,✅ HIT,UNDER,62.7%,53.38,✅ HIT,-0.66,-1.19,3.0,-1.5,0.67,1.4,1.6,0.0092,100.0%,7.5,0.0,44.4%,55.6%,0.0497,6.5,-1.0,57.2%,42.8%,0.1328,,,,,,,,,,,7.5,0.0,43.7%,56.3%,0.045,,,,,
54,Joel Embiid,3PM,1.5,UNDER,Underdog,,0.75x,65.2%,S,BET,53.8,❌ MISS,3.0,UNDER,65.1%,53.65,❌ MISS,UNDER,65.2%,53.75,❌ MISS,UNDER,65.3%,53.88,❌ MISS,UNDER,65.3%,53.91,❌ MISS,-0.19,0.26,-0.46,0.3,-0.53,1.2,1.2,0.0009,100.0%,1.5,0.0,37.2%,62.8%,0.0155,1.5,0.0,38.4%,61.6%,0.0235,1.5,0.0,38.2%,61.8%,0.0221,1.5,0.0,36.4%,63.5%,0.0109,1.5,0.0,38.4%,61.6%,0.0238,1.5,0.0,35.8%,64.2%,0.0067
55,Jalen Williams,AST,3.5,OVER,Underdog,,0.88x,69.2%,C,STRONG BET,53.76,❌ MISS,3.0,OVER,70.1%,54.81,❌ MISS,OVER,68.0%,52.25,❌ MISS,OVER,70.5%,55.34,❌ MISS,OVER,68.3%,52.65,❌ MISS,-0.64,-0.49,-1.5,-1.5,-0.44,1.4,1.2,0.0111,100.0%,3.5,0.0,52.8%,47.2%,0.1068,,,,,,,,,,,,,,,,,,,,,,,,,
56,Kawhi Leonard,PA,30.5,OVER,Underdog and PrizePicks,,,64.6%,D,DO NOT BET,53.64,❌ MISS,29.0,OVER,62.4%,50.98,❌ MISS,OVER,62.8%,51.47,❌ MISS,OVER,66.4%,55.77,❌ MISS,OVER,66.9%,56.35,❌ MISS,-0.35,-0.26,1.5,-1.1,-0.38,1.6,1.6,0.0205,100.0%,30.5,0.0,50.0%,50.0%,0.0952,31.5,1.0,44.3%,55.7%,0.1321,,,,,,,,,,,31.5,1.0,43.9%,56.1%,0.1347,30.5,0.0,50.0%,50.0%,0.0952
57,Joel Embiid,BLK,0.5,OVER,PrizePicks,Goblin,,66.5%,S,BET,53.48,✅ HIT,1.0,OVER,67.2%,54.37,✅ HIT,OVER,66.1%,53.03,✅ HIT,OVER,66.9%,53.94,✅ HIT,OVER,65.8%,52.62,✅ HIT,-0.75,-0.4,-1.1,-0.3,-0.26,1.4,1.2,0.0058,100.0%,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,0.0,64.4%,35.6%,0.014
58,Paul George,PR,22.5,UNDER,PrizePicks,,,67.3%,D,STRONG BET,53.32,❌ MISS,34.0,UNDER,68.3%,54.47,❌ MISS,UNDER,67.8%,53.83,❌ MISS,UNDER,66.7%,52.57,❌ MISS,UNDER,66.6%,52.42,❌ MISS,-0.17,-0.23,-0.6,-1.9,0.51,1.4,1.6,0.0073,100.0%,22.5,0.0,51.9%,48.1%,0.125,23.5,1.0,47.2%,52.8%,0.0947,,,,,,,,,,,23.5,1.0,47.2%,52.8%,0.0947,22.5,0.0,48.0%,52.0%,0.0998
59,Jerami Grant,3PM,1.5,OVER,PrizePicks,Goblin,,67.5%,S,BET,53.14,✅ HIT,4.0,OVER,66.9%,51.77,✅ HIT,OVER,66.5%,51.31,✅ HIT,OVER,68.7%,55.09,✅ HIT,OVER,68.0%,54.36,✅ HIT,-0.42,-0.64,-0.25,-1.3,0.44,1.6,1.6,0.0085,100.0%,2.5,1.0,52.2%,47.8%,0.0995,2.5,1.0,54.0%,46.0%,0.0877,2.5,1.0,53.4%,46.6%,0.0921,2.5,1.0,52.8%,47.2%,0.0959,2.5,1.0,54.0%,46.0%,0.0877,2.5,1.0,53.7%,46.3%,0.0896
60,Kyle Kuzma,3PM,1.5,UNDER,Underdog,,0.82x,66.4%,S,BET,53.11,NO GAME,,UNDER,68.3%,55.41,NO GAME,UNDER,68.4%,55.47,NO GAME,UNDER,64.5%,50.76,NO GAME,UNDER,64.5%,50.81,NO GAME,-0.23,-0.26,-1.5,-0.3,0.03,1.2,1.2,0.0194,100.0%,1.5,0.0,39.3%,60.7%,0.0371,1.5,0.0,41.1%,58.9%,0.0488,1.5,0.0,40.0%,60.1%,0.0414,1.5,0.0,39.3%,60.7%,0.0375,1.5,0.0,43.7%,56.3%,0.0659,1.5,0.0,39.6%,60.4%,0.0391
61,Kyle Kuzma,3PM,0.5,OVER,PrizePicks,Goblin,,68.9%,S,BET,53.05,NO GAME,,OVER,68.0%,51.28,NO GAME,OVER,67.6%,50.82,NO GAME,OVER,70.4%,55.43,NO GAME,OVER,69.8%,54.69,NO GAME,-0.63,-0.6,-1.5,-0.7,-0.03,1.4,1.2,0.012,100.0%,1.5,1.0,51.8%,48.2%,0.1115,1.5,1.0,53.6%,46.4%,0.0998,1.5,1.0,52.4%,47.5%,0.1072,1.5,1.0,51.8%,48.2%,0.1111,1.5,1.0,56.2%,43.8%,0.0827,1.5,1.0,52.1%,47.9%,0.1095
62,Jalen Williams,REB,2.5,OVER,PrizePicks,Goblin,,72.0%,B,STRONG BET,53.03,✅ HIT,3.0,OVER,72.8%,54.01,✅ HIT,OVER,72.7%,54.01,✅ HIT,OVER,71.4%,52.12,✅ HIT,OVER,71.2%,52.0,✅ HIT,-2.85,-1.74,-1.5,-1.3,-0.83,1.6,2.0,0.0072,100.0%,3.5,1.0,53.0%,47.0%,0.1235,,,,,,,,,,,,,,,,,,,,,,,,,
63,Chet Holmgren,REB,7.5,OVER,PrizePicks,Goblin,,67.8%,B,STRONG BET,52.99,❌ MISS,5.0,OVER,68.6%,53.86,❌ MISS,OVER,68.6%,53.96,❌ MISS,OVER,67.1%,52.09,❌ MISS,OVER,67.0%,52.06,❌ MISS,-0.44,-0.27,-0.75,-0.9,-0.58,1.8,1.6,0.0076,100.0%,8.5,1.0,53.2%,46.8%,0.0951,,,,,,,,,,,,,,,,,,,,,,,,,
64,P.J. Washington,STL,0.5,OVER,PrizePicks,Goblin,,65.9%,A,BET,52.98,❌ MISS,0.0,OVER,65.8%,52.84,❌ MISS,OVER,65.2%,52.08,❌ MISS,OVER,66.7%,53.87,❌ MISS,OVER,66.1%,53.13,❌ MISS,-0.3,-0.84,-1.51,-1.5,0.96,1.4,1.6,0.0053,100.0%,,,,,,0.5,0.0,65.9%,34.1%,0.0005,,,,,,,,,,,,,,,,,,,,
65,Stephon Castle,AST,8.5,UNDER,Underdog,,0.89x,70.1%,C,STRONG BET,52.9,❌ MISS,9.0,UNDER,69.9%,52.49,❌ MISS,UNDER,68.6%,51.27,❌ MISS,UNDER,71.5%,54.55,❌ MISS,UNDER,70.3%,53.29,❌ MISS,-0.69,0.34,-2.86,0.7,-2.1,1.0,0.8,0.0103,100.0%,7.5,-1.0,40.3%,59.7%,0.0672,7.5,-1.0,41.2%,58.8%,0.073,7.5,-1.0,40.4%,59.6%,0.0681,8.5,0.0,43.7%,56.3%,0.0896,9.5,1.0,33.6%,66.4%,0.0237,8.5,0.0,44.3%,55.7%,0.0934
66,Kawhi Leonard,PRA,36.5,OVER,Underdog,,0.88x,64.6%,D,DO NOT BET,52.85,❌ MISS,35.0,OVER,61.6%,49.24,❌ MISS,OVER,61.5%,49.06,❌ MISS,OVER,67.7%,56.41,❌ MISS,OVER,67.9%,56.69,❌ MISS,-0.63,-0.11,1.5,-0.3,-1.45,1.2,0.8,0.0313,100.0%,36.5,0.0,50.5%,49.5%,0.0917,37.5,1.0,47.9%,52.1%,0.1088,37.5,1.0,43.5%,56.5%,0.1373,37.5,1.0,47.0%,53.0%,0.1149,39.5,3.0,36.9%,63.1%,0.1804,37.5,1.0,47.0%,53.0%,0.1149
67,Derrick White,BLK,1.5,UNDER,Underdog,,0.68x,78.2%,S,STRONG BET,52.66,✅ HIT,0.0,UNDER,78.9%,53.04,✅ HIT,UNDER,78.9%,53.02,✅ HIT,UNDER,77.6%,52.29,✅ HIT,UNDER,77.6%,52.3,✅ HIT,-0.26,-1.75,3.0,-0.7,0.6,1.8,2.0,0.0067,100.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,Jalen Williams,PA,17.0,OVER,PrizePicks,,,69.9%,D,STRONG BET,52.61,❌ MISS,10.0,OVER,70.4%,53.23,❌ MISS,OVER,70.8%,53.71,❌ MISS,OVER,69.0%,51.46,❌ MISS,OVER,69.5%,52.04,❌ MISS,-0.79,-0.61,1.5,-4.6,-1.36,1.6,1.2,0.0073,100.0%,16.5,-0.5,51.6%,48.4%,0.1188,,,,,,,,,,,,,,,,,,,,,,,,,
69,Scoot Henderson,PR,17.5,UNDER,PrizePicks,,,66.9%,D,STRONG BET,52.59,❌ MISS,26.0,UNDER,65.7%,51.12,❌ MISS,UNDER,65.2%,50.54,❌ MISS,UNDER,68.4%,54.42,❌ MISS,UNDER,68.3%,54.27,❌ MISS,-0.68,-1.4,-1.25,-2.5,1.29,1.4,2.0,0.0146,100.0%,17.5,0.0,47.2%,52.8%,0.0915,16.5,-1.0,54.2%,45.8%,0.1372,,,,,,,,,,,17.5,0.0,48.0%,52.0%,0.0967,,,,,
70,Scoot Henderson,REB,2.5,OVER,Underdog and PrizePicks,Goblin,0.80x,63.7%,B,DO NOT BET,52.57,✅ HIT,3.0,OVER,63.0%,51.81,✅ HIT,OVER,63.3%,52.16,✅ HIT,OVER,64.2%,53.11,✅ HIT,OVER,64.3%,53.2,✅ HIT,-0.39,-0.12,-1.0,-0.1,-0.21,1.4,1.6,0.0054,100.0%,,,,,,2.5,0.0,55.4%,44.6%,0.054,,,,,,2.5,0.0,54.9%,45.1%,0.0575,3.5,1.0,40.4%,59.6%,0.1515,,,,,
71,Pascal Siakam,PR,27.5,OVER,PrizePicks,,,66.7%,D,STRONG BET,52.39,✅ HIT,28.0,OVER,68.2%,54.03,✅ HIT,OVER,67.6%,53.32,✅ HIT,OVER,65.5%,51.03,✅ HIT,OVER,65.6%,51.18,✅ HIT,-0.35,-0.33,0.09,-2.9,-0.2,1.4,1.6,0.0117,100.0%,27.5,0.0,50.0%,50.0%,0.1088,27.5,0.0,51.5%,48.5%,0.0993,,,,,,,,,,,28.5,1.0,47.4%,52.5%,0.1254,28.5,1.0,48.6%,51.3%,0.1176
72,Josh Giddey,STL,0.5,OVER,PrizePicks,Goblin,,67.9%,A,BET,52.01,❌ MISS,0.0,OVER,69.7%,54.66,❌ MISS,OVER,69.0%,53.99,❌ MISS,OVER,66.7%,49.97,❌ MISS,OVER,66.1%,49.4,❌ MISS,-0.78,-1.74,-0.58,-1.3,0.72,1.8,2.0,0.015,100.0%,1.5,1.0,53.8%,46.2%,0.0914,1.5,1.0,55.9%,44.1%,0.0782,,,,,,,,,,,,,,,,,,,,
73,Josh Giddey,3PM,2.5,UNDER,Underdog,,0.80x,65.6%,S,BET,51.82,❌ MISS,3.0,UNDER,68.1%,54.83,❌ MISS,UNDER,68.2%,54.89,❌ MISS,UNDER,63.0%,48.74,❌ MISS,UNDER,63.1%,48.83,❌ MISS,-0.45,-0.26,-0.9,-0.3,-0.22,0.8,1.2,0.0253,100.0%,2.5,0.0,38.9%,61.1%,0.0296,2.5,0.0,41.1%,58.9%,0.0436,2.5,0.0,40.4%,59.6%,0.0392,2.5,0.0,40.5%,59.5%,0.0398,2.5,0.0,40.9%,59.1%,0.0422,2.5,0.0,40.6%,59.4%,0.0402
74,Kawhi Leonard,3PM,1.5,OVER,PrizePicks,Goblin,,67.8%,S,BET,51.71,✅ HIT,2.0,OVER,67.5%,50.36,✅ HIT,OVER,67.1%,49.91,✅ HIT,OVER,68.5%,53.63,✅ HIT,OVER,67.9%,52.93,✅ HIT,-1.0,-1.46,1.5,-1.7,0.54,1.6,2.0,0.0053,100.0%,2.5,1.0,60.2%,39.9%,0.0495,2.5,1.0,58.3%,41.7%,0.0614,2.5,1.0,59.3%,40.7%,0.0548,2.5,1.0,58.7%,41.3%,0.0588,2.5,1.0,57.9%,42.1%,0.0639,2.5,1.0,58.8%,41.2%,0.0582
75,Luka Dončić,3PM,4.5,UNDER,Underdog,,0.88x,64.8%,S,BET WITH CAUTION,51.7,✅ HIT,4.0,UNDER,59.3%,45.17,✅ HIT,UNDER,59.5%,45.35,✅ HIT,UNDER,70.3%,58.2,✅ HIT,UNDER,70.2%,58.11,✅ HIT,-0.22,0.29,0.7,0.7,-1.23,1.0,1.2,0.054,100.0%,4.5,0.0,44.8%,55.2%,0.0627,4.5,0.0,46.9%,53.1%,0.0764,4.5,0.0,47.0%,53.0%,0.0771,4.5,0.0,46.6%,53.4%,0.074,5.5,1.0,34.9%,65.0%,-0.0015,4.5,0.0,48.9%,51.1%,0.0894
76,Bennedict Mathurin,3PM,0.5,OVER,PrizePicks,Goblin,,68.1%,S,BET,51.68,✅ HIT,1.0,OVER,68.2%,51.74,✅ HIT,OVER,67.8%,51.28,✅ HIT,OVER,68.6%,52.19,✅ HIT,OVER,68.0%,51.5,✅ HIT,-1.19,-0.56,-0.75,-0.5,-0.57,0.8,1.2,0.003,100.0%,1.5,1.0,51.7%,48.3%,0.107,1.5,1.0,50.5%,49.5%,0.1144,1.5,1.0,52.6%,47.4%,0.1009,1.5,1.0,51.7%,48.3%,0.1066,1.5,1.0,50.7%,49.3%,0.1132,1.5,1.0,57.4%,42.6%,0.0697
77,Pascal Siakam,AST,2.5,OVER,PrizePicks,Goblin,,72.2%,C,STRONG BET,51.63,❌ MISS,1.0,OVER,73.4%,52.94,❌ MISS,OVER,71.1%,50.19,❌ MISS,OVER,73.3%,53.12,❌ MISS,OVER,71.0%,50.28,❌ MISS,-0.75,-0.28,-0.46,-0.5,-0.84,1.4,1.2,0.0117,100.0%,3.5,1.0,46.8%,53.2%,0.1651,3.5,1.0,45.6%,54.4%,0.1726,3.5,1.0,45.3%,54.7%,0.1745,3.5,1.0,47.1%,52.9%,0.1632,3.5,1.0,45.1%,54.9%,0.1758,3.5,1.0,49.4%,50.6%,0.1479
